domain,name,key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,sources,first_seen
acisinc.com,"ACIS - Air Conditioning Innovative Solutions, Inc.",accept,United States,mckinney,75,44000000,,2002,,"Air-Conditioning Innovative Solutions serves Dallas, Fort Worth, Houston and Austin with commercial HVAC services. ACIS can work with you on any of your HVAC needs including but not limited to rooftop units, air and water cooled chillers, air movement, environmental control (computer room), hydronic","75-staff McKinney, TX company explicitly serves Texas cities with commercial HVAC services.",eval_reprove-missing,2026-09-04T16:41:13.659777+05:30
aircond.com,EMCOR Services Aircond,accept,United States,Smyrna,111,14051998,,,,"Backed by 80 years of experience, the more than 300 associates at EMCOR Services Aircond design and deliver comprehensive, timely, and cost effective HVAC and building system solutions. These solutions are tailored to the specific needs of world-class businesses and organizations in high-profile com","111-employee commercial HVAC firm in Smyrna, GA serving commercial/mission-critical buildings, fits all criteria.",eval_combined2;eval_jns-hvac;eval_lean,2026-09-04T18:35:51.467313+05:30
amsco-ac.com,Air Mechanical & Service Corp.,accept,United States,Tampa,21,,,1982,,"Air Mechanical and Service Corp. (AMSCO) was founded in 1982 as a full service HVAC Mechanical Contractor and Service Company. Since its inception we have grown to become a multifaceted corporation to include: HVAC Mechanical Contractor, General Contractor and Construction Manager with significant r","Tampa FL, 21 staff, full service HVAC Mechanical Contractor, distinct commercial HVAC business line.",eval_angles-4;eval_reprove-missing,2026-09-04T17:35:18.040693+05:30
campbellinc.com,Campbell Inc,,United States,Northwood,35,36961974,,1968,,We are a full service HVAC contractor employing a highly skilled team of professionals trained in all aspects from proactive preventive maintenance through design/build and retrofit.    Our comprehensive services include:    •Boilers  •Chillers  •Cooling Towers  •Pumps  •Split Systems and Packaged A,"Full-service HVAC contractor with 35 staff; location 'Northwood' state unspecified, so TX/FL/GA unknown.",eval_combined;eval_combined2,2026-09-04T18:11:51.839449+05:30
ccmech.com,"Capital City Mechanical Services, LLC",accept,United States,Peachtree Corners,21,15011888,,1990,,"Capital City Mechanical Services, LLC is located in Peachtree Corners, Georgia, Metro Atlanta Area. A full-Service HVAC, Mechanical Provider. We service, maintain and install Rooftops, Split Systems, Chillers, Boilers, Cooling Towers and more!  At Capital City, our customers come first! We consider ","21 staff, Georgia-based full-service commercial HVAC mechanical provider, not residential or manufacturing.",eval_baseline;eval_combined;eval_combined2;eval_jns-hvac;eval_lean,2026-09-04T16:13:57.196761+05:30
energyair.com,"Energy Air, Inc.",accept,United States,Orlando,93,3155539,,1976,,"Energy Air, Inc. is a leading heating, ventilation, and air conditioning company that’s been in business since 1976.  We consistently rank as one of the top specialty contractors in the state of Florida. Our services include commercial and residential HVAC system design and installation, service/rep","Commercial and residential HVAC contractor, 93 staff, located in Orlando, FL.",eval_judge-x4;eval_reprove-missing,2026-09-04T17:16:23.416718+05:30
engcool.com,Engineered Cooling Services,,United States,Pensacola,114,12617956,,2002,,"Engineered Cooling Services is the Southeast’s leading energy and HVAC services company headquartered in Pensacola, FL with local offices in Mobile, Montgomery, Birmingham, Tallahassee, Panama City, and Orlando.  Our focus on service enables us to deliver long-term technical solutions for our client","Explicitly Pensacola, FL headquartered; HVAC/energy services described but 'commercial' focus not stated.",eval_lean,2026-09-04T19:02:11.414608+05:30
helioshvacr.com,Helios HVACR Services,reject:unreachable,United States,Maitland,107,,,1988,,"With over 35 years of experience, Helios HVACR Services is a premier A-rated provider of commercial HVACR solutions, offering scalable, multi-site support across 40+ states - all delivered through our 100% self-performing, EPA-certified technicians.   What We Offer •	Preventative Maintenance: Progra","Commercial HVACR services provider with 107 staff based in Maitland, Florida.",eval_combined;eval_jns-hvac,2026-09-04T18:11:51.839449+05:30
issmechanical.com,ISS Mechanical,accept,United States,Apopka,25,630550,,2003,,"ISS Mechanical is a ""Service First"" Mechanical and Plumbing Contractor. We specialize in the service, maintenance, repair and replacement of air conditioning, chillers, controls and refrigeration equipment for existing Commercial, Healthcare and Industrial Facilities. Our service area is Central Flo","Apopka FL, 25 staff, mechanical/plumbing contractor specializing in commercial HVAC service and repair.",eval_angles-4,2026-09-04T17:35:18.040693+05:30
krmechanicalsvcs.com,K&R Mechanical Services LLC,accept,United States,Houston,21,,,2015,,"We are a full-service commercial HVAC mechanical contractor with over 35 years of experience in the field. We are familiar with all systems large and small and work with the leading HVAC brands all around Houston, Texas, and the major surrounding areas. Our focus is on commercial HVAC system install","Houston, TX contractor with 21 staff doing commercial HVAC install, repair, maintenance as core business.",eval_lean,2026-09-04T19:00:32.7482+05:30
miinclp.com,MIINC Mechanical Contractors,,United States,Dallas,59,,,2004,,"MIINC is a trusted mechanical contractor with a reputation for successfully planning, completing, and servicing highly-complex commercial and industrial projects throughout North Texas and nationwide. We have a history of handling jobs that other contractors can’t do or won’t touch. MIINC takes on w","Description calls it a mechanical contractor in Dallas, TX; no explicit HVAC line-of-business mention.",eval_angles-4,2026-09-04T17:36:06.596415+05:30
msifla.com,EMCOR Services  MSI - Mechanical Services,accept,United States,Orlando,55,,,,,"EMCOR Services MSI is one of the region’s largest and most respected, award winning commercial HVAC service operations, a trusted member of our industry and community for over 46 years.  MSI manufactures and prefabricates projects of all types and complexity, quickly and cost effectively. Our self p","Orlando FL commercial HVAC service operation with 55 staff, self-performing mechanical/HVAC systems design-build.",eval_angles-4;eval_baseline;eval_combined;eval_combined2;eval_jns-hvac;eval_judge-x4;eval_lean;eval_reprove-missing,2026-09-04T17:36:06.596415+05:30
