domain,name,key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,sources,first_seen
adaptyvbio.com,Adaptyv,accept,Switzerland,Lausanne,30,1000000,10939391,,Biotechnology research,Proteins are the most advanced nanotechnology we know of. At Adaptyv Bio we’re building a next-gen protein foundry to allow you to synthesize and test any protein you design. ,"Own blog post announces $40M Series A led by Highland Europe; matches size, location, venture backing.",eval_judge-next-slice,2026-09-04T17:46:15.783425+05:30
amber.de,amber,accept,Germany,Aachen,50,,,2021,Enterprise AI,AI platform helping small and medium-sized businesses access and operationalize organizational knowledge through autonomous enterprise workflows.,"amber is a German AI startup with 50 employees, dated Series A close but no lead investor named.",eval_jns-carta;eval_reprove-missing,2026-09-04T17:52:05.406677+05:30
arc-intelligence.de,ARC Intelligence,accept,Germany,Berlin,11,,1047355,2024,Financial software,"From Berlin, Germany, we build AI-powered software that streamlines the work of multi-entity CFO teams and PEs worldwide — so they can speed up month-end close and explain performance in near real-time.","Berlin fintech software firm, 11 employees, secured €4M seed round, venture-backed and private.",eval_combined2;eval_jns-carta,2026-09-04T18:30:09.518175+05:30
augustus.com,Augustus,accept,United States,New York,52,,210000000,2021,Financial services,"Augustus (formerly known as Ivy) has received OCC conditional approval to charter the first clearing bank for the AI era.   This approval has been driven by our core thesis: the dollar is the best product in the history of the world, with practically infinite global demand - but distribution is brok","US fintech operating company, 52 employees, Series B $180M closed July 21 2026; venture-backed, private.",eval_angles-4;eval_lean,2026-09-04T17:30:43.816912+05:30
axle.insure,Axle,accept,United States,New York City,27,,8560000,,Insurance technology,"Axle is Plaid for insurance - a universal API for insurance data. With Axle, companies can instantly verify insurance and monitor ongoing coverage, helping them reduce operational cost while creating a frictionless experience for users. Axle is backed by leading investors including Google's AI-focus","NYC insurtech, 27 employees, blog post confirms $17.5M Series A led by Base10 Partners, meeting round and investor criteria.",eval_combined,2026-09-04T18:07:11.931921+05:30
cheiron.bio,Cheiron,accept,United States,Palo Alto,21,,4000000,2024,Biopharma software,"Cheiron is building the AI-native operating system for drug development — the system where biopharma teams execute scientific, clinical, regulatory, and competitive workflows end-to-end on a unified intelligence layer.  Cheiron integrates literature, clinical trials, regulatory precedent, safety dat","US biopharma software startup, 21 employees, seed $8M led by Menlo Ventures closed July 22 2026.",eval_angles-4,2026-09-04T17:30:43.816912+05:30
conveo.ai,Conveo,accept,United Kingdom,London,65,,5925000,2024,Market research,"Backed by Y Combinator, Conveo sets the new standard in qualitative research. Conveo is a qualitative research platform that conducts in-depth, AI-moderated interviews. By merging the depth of interviews with the speed and scalability of surveys, Conveo provides deeper insights, faster and at scale.","London-based operating company, 65 staff, announced $50M Series A from multiple VCs, privately held.",eval_combined2;eval_reprove-missing,2026-09-04T18:30:09.518175+05:30
convex.dev,Convex,accept,United States,San Francisco,29,,79600000,2021,Developer infrastructure,"Convex is the open-source reactive database for web app developers which includes everything your product deserves to build, launch, and scale. Our mission is to fundamentally change how software is built on the Internet and who gets to build it. We aim to empower web developers to build fast, relia","Developer infra startup, SF HQ, 29 employees, Series B led by Insight Partners, VC‑funded, private.",eval_combined2,2026-09-04T18:32:49.250384+05:30
cusp.ai,CuspAI,accept,United Kingdom,Cambridge,62,,330000000,2024,Materials technology,"While nature took billions of years to perfect molecules, we are harnessing AI to unlock trillion-dollar materials breakthroughs in months, not millennia.   Our founding team is the most cited in the world, comprised of world-class researchers in AI, chemistry and engineering. We're on the cusp of t","UK materials-tech operating company, 62 employees, recently closed $450M Series B, venture-backed.",eval_angles-4,2026-09-04T17:32:52.525147+05:30
cyclops.io,Cyclops,accept,United States,Miami,31,,20000000,,Payment infrastructure,"Stablecoin infrastructure platform for payments companies, including settlement, payins, payouts and treasury management.","Payments infra startup, 31 US employees, $20M Series A led by Nava Ventures announced.",eval_jns-carta,2026-09-04T17:50:07.029206+05:30
