domain,company_name,person_company_name,company_key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,company_sources,first_seen,person_name,title,linkedin_url,person_key_label,location,status,person_sources
afgonline.com.au,AFG,,accept,Australia,Perth,232,,,1994,,"AFG was established in 1994 to help create a fairer financial future for Australians. We’ve grown to become one of the country’s largest mortgage broking groups and leaders in financial solutions. Today, our 300+ employees support over 4,000 brokers nationally and manage around $55 billion in reside",Perth-based mortgage broker with 232 staff; revenue unstated so r1 unproven; no tech function details.,eval_reprove-missing,2026-09-04T16:19:01.709717+05:30,,,,,,,
aldicareers.com.au,ALDI Stores Australia,ALDI Stores Australia,accept,Australia,,3360,,,2001,,"If you’ve ever been to ALDI, you’ll know we’re not your average supermarket. We’ve never been satisfied with the status-quo or doing things that other supermarkets do. By doing things differently, we can provide top-quality products at the lowest prices. That’s why we call it Good Different.  ALDI i","Australian supermarket, 3360 staff, no revenue figure given; careers page shows retail roles, not tech contracting.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Alex Richards,Managing Director National IT,https://linkedin.com/in/alex-richards-7572313b,accept,"Sydney, Australia",verified,eval_proof-mstone-p
aldicareers.com.au,ALDI Stores Australia,ALDI Stores Australia,accept,Australia,,3360,,,2001,,"If you’ve ever been to ALDI, you’ll know we’re not your average supermarket. We’ve never been satisfied with the status-quo or doing things that other supermarkets do. By doing things differently, we can provide top-quality products at the lowest prices. That’s why we call it Good Different.  ALDI i","Australian supermarket, 3360 staff, no revenue figure given; careers page shows retail roles, not tech contracting.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Chris Helderman MACS CP,National IT Director,https://linkedin.com/in/chris-helderman-macs-cp-a7395153,accept,"Sydney, Australia",verified,eval_proof-mstone-p
aldicareers.com.au,ALDI Stores Australia,ALDI Stores Australia,accept,Australia,,3360,,,2001,,"If you’ve ever been to ALDI, you’ll know we’re not your average supermarket. We’ve never been satisfied with the status-quo or doing things that other supermarkets do. By doing things differently, we can provide top-quality products at the lowest prices. That’s why we call it Good Different.  ALDI i","Australian supermarket, 3360 staff, no revenue figure given; careers page shows retail roles, not tech contracting.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Marc Stephan,Group Director IT and Project Management @ ALDI Stores,https://linkedin.com/in/marc-stephan-69ab59a8,accept,"Sydney, Australia",verified,eval_proof-mstone-p
aldicareers.com.au,ALDI Stores Australia,ALDI Stores Australia,accept,Australia,,3360,,,2001,,"If you’ve ever been to ALDI, you’ll know we’re not your average supermarket. We’ve never been satisfied with the status-quo or doing things that other supermarkets do. By doing things differently, we can provide top-quality products at the lowest prices. That’s why we call it Good Different.  ALDI i","Australian supermarket, 3360 staff, no revenue figure given; careers page shows retail roles, not tech contracting.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Reyner Stephens,Director of Information Technology,https://linkedin.com/in/reyner-stephens-3b14bb11b,accept,"Sydney, Australia",verified,eval_proof-mstone-p
arnotts.com,The Arnott's Group,The Arnott's Group,accept,Australia,North Strathfield,882,766191000,47200000,,,"The Arnott’s Group is proud of its delicious and iconic portfolio of brands that continue the legacy begun by the Arnott family in 1865. Created locally, we provide quality, great-tasting food to delight consumers around the world. The Arnott’s Group is headquartered in Sydney and employs approximat","Food manufacturer, 882 employees, $766M revenue, HQ in Sydney; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Jari Laurikainen,"IT Director, Enterprise Applications at The Arnott's Group",https://linkedin.com/in/laurikainen-jari,accept,"Sydney, Australia",verified,eval_proof-mstone-p
arnotts.com,The Arnott's Group,The Arnott's Group,accept,Australia,North Strathfield,882,766191000,47200000,,,"The Arnott’s Group is proud of its delicious and iconic portfolio of brands that continue the legacy begun by the Arnott family in 1865. Created locally, we provide quality, great-tasting food to delight consumers around the world. The Arnott’s Group is headquartered in Sydney and employs approximat","Food manufacturer, 882 employees, $766M revenue, HQ in Sydney; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Michael Morley,Director IT Operations,https://linkedin.com/in/morleym,accept,"Brisbane, Australia",verified,eval_proof-mstone-p
arnotts.com,The Arnott's Group,The Arnott's Group,accept,Australia,North Strathfield,882,766191000,47200000,,,"The Arnott’s Group is proud of its delicious and iconic portfolio of brands that continue the legacy begun by the Arnott family in 1865. Created locally, we provide quality, great-tasting food to delight consumers around the world. The Arnott’s Group is headquartered in Sydney and employs approximat","Food manufacturer, 882 employees, $766M revenue, HQ in Sydney; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Sean McLintock,Chief Digital & Technology Officer,https://linkedin.com/in/seanmclintock01,accept,"Sydney, Australia",verified,eval_proof-mstone-p
arnotts.com,The Arnott's Group,The Arnott's Group,accept,Australia,North Strathfield,882,766191000,47200000,,,"The Arnott’s Group is proud of its delicious and iconic portfolio of brands that continue the legacy begun by the Arnott family in 1865. Created locally, we provide quality, great-tasting food to delight consumers around the world. The Arnott’s Group is headquartered in Sydney and employs approximat","Food manufacturer, 882 employees, $766M revenue, HQ in Sydney; no tech contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Shane West,Director Of Engineering,https://linkedin.com/in/shane-west-79393415,accept,"Sydney, Australia",verified,eval_proof-mstone-p
asahibeverages.com,Asahi Beverages,,accept,Australia,Southbank,1739,,,,,"Asahi Beverages is one of the leading beverage companies in Australia and New Zealand, producing an extensive range of alcohol and non-alcohol beverages.   Our non-alcohol portfolio extends across soft drinks, mixers, mineral water, water, juice, tea, energy and sports drinks, with iconic and well-l",Beverage maker in Southbank (Melbourne); no revenue figure given so scale unproven; no in-house tech hiring evidence.,eval_proof-mstone,2026-09-05T08:59:59.683808+05:30,,,,,,,
bapcor.com.au,Bapcor Limited,Bapcor Limited,accept,Australia,Mount Waverley,378,1975767040,,1971,,"You may not have heard of Bapcor, but you will know our brands. Our businesses – including Burson, Autobarn, Midas, Truckline, BNT and JAS – are inside cars, on four-wheel drives and all over trucks.  Our core business spans the end-to-end aftermarket supply chain covering trade, retail, networks an","ASX auto-parts group, 378 staff, $1.98B revenue, registered office in Melbourne; no tech-contracting evidence.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Morris L.,Chief Technology Officer,https://linkedin.com/in/morrislieberman,accept,"Kew, Australia",verified,eval_proof-mstone-p
bigw.com.au,BIG W,BIG W,accept,Australia,Sydney,2241,3124426500,,1964,,"About BIG W  For over 50 years BIG W has been the trusted backstop of Australian households. We have clothed Australian families, furnished Australian homes and filled Australian toy boxes. We opened our first store on the outskirts of Newcastle in New South Wales in 1964 and have more than 177 stor","Sydney retailer, 2241 staff, $3.1B revenue; homepage is retail e-commerce, no evidence of in-house tech contracting.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Ashok Jayaprakash,Head of Data & AI Engineering,https://linkedin.com/in/ashokmj3,accept,"Sydney, Australia",verified,eval_proof-mstone-p
bigw.com.au,BIG W,BIG W,accept,Australia,Sydney,2241,3124426500,,1964,,"About BIG W  For over 50 years BIG W has been the trusted backstop of Australian households. We have clothed Australian families, furnished Australian homes and filled Australian toy boxes. We opened our first store on the outskirts of Newcastle in New South Wales in 1964 and have more than 177 stor","Sydney retailer, 2241 staff, $3.1B revenue; homepage is retail e-commerce, no evidence of in-house tech contracting.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Steven Bruce,Head of Technology - Engineering,https://linkedin.com/in/steven-bruce-31b1611,accept,"Sydney, Australia",verified,eval_proof-mstone-p
blackmores.com.au,Blackmores Group,Blackmores Group,accept,Australia,Warriewood,626,649521024,,1932,,"Since 1932, Blackmores Group has been championing innovative natural health solutions to bring wellness to people everywhere, every day.  Founded by visionary naturopath, Maurice Blackmore, our vision is to connect every person on earth to the healing power of nature by combining our knowledge of na","Australian wellness company, 626 staff, $649M revenue; no evidence of in-house tech contracting authority.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Andrew Grech,Director IT Engineering & Operations,https://linkedin.com/in/andrew-grech-b214045,accept,"Sydney, Australia",verified,eval_proof-mstone-p
blackmores.com.au,Blackmores Group,Blackmores Group,accept,Australia,Warriewood,626,649521024,,1932,,"Since 1932, Blackmores Group has been championing innovative natural health solutions to bring wellness to people everywhere, every day.  Founded by visionary naturopath, Maurice Blackmore, our vision is to connect every person on earth to the healing power of nature by combining our knowledge of na","Australian wellness company, 626 staff, $649M revenue; no evidence of in-house tech contracting authority.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,David Grozdan,Head of IT ‐ Manufacturing,https://linkedin.com/in/david-grozdan-1355b03b,accept,"Melbourne, Australia",verified,eval_proof-mstone-p
blackmores.com.au,Blackmores Group,Blackmores Group,accept,Australia,Warriewood,626,649521024,,1932,,"Since 1932, Blackmores Group has been championing innovative natural health solutions to bring wellness to people everywhere, every day.  Founded by visionary naturopath, Maurice Blackmore, our vision is to connect every person on earth to the healing power of nature by combining our knowledge of na","Australian wellness company, 626 staff, $649M revenue; no evidence of in-house tech contracting authority.",eval_proof-mstone;eval_proof-mstone-p,2026-09-05T08:59:59.683808+05:30,Ivan Dretvic,IT Director of Enterprise Services and Architecture,https://linkedin.com/in/ivandretvic,accept,"Sydney, Australia",verified,eval_proof-mstone-p
