domain,name,key_label,country,city,workforce_total,revenue_annual,funding_total,founded_year,industry,description,fit_reason,sources,first_seen
americanitsolutions.com,"American IT Solutions, Inc",accept,United States,wallingford,42,9741858,,2003,,"American IT Solutions, Inc. provides ""World Class Technology Services to Small Businesses and fortune 500 companies nationwide."" Founded in 2003, American IT Solutions, Inc. (AIT) combines award winning hardware solutions with customer focused managed sourcing services. This unique solutions suite p","IT solutions firm with 42 employees in US serving small and large clients; meets headcount, location.",eval_combined2,2026-09-04T18:18:55.593421+05:30
ascentient.com,Ascentient IT Support & Managed IT Services,accept,United States,Schaumburg,21,5071186,,1999,,"Discover the Ascentient advantage — your trusted partner in managed IT services since 1999. Located in Schaumburg, Illinois, we specialize in personalized IT solutions that elevate your business. Transforming Businesses with Smart, Simple, & Secure Technology Solutions. Ignite business growth and in","Managed IT services provider with 21 employees in Illinois, US; no soft-preference evidence in description.",eval_angles-4;eval_combined;eval_reprove-missing,2026-09-04T17:20:41.085967+05:30
boxit.net,"boxIT, LLC",accept,United States,San Francisco,11,6000000,,2001,,"boxIT has been providing reliable and cost-effective IT services to businesses through automation, 24/7 management, and a data-driven yet human approach since 2001. What started as an onsite physical management appliance called “box” has evolved into a blended model of technology + human support for",MSP with 11 US-based employees delivering IT services; no evidence on staffing buyer type or hiring events.,eval_lean;eval_reprove-missing,2026-09-04T18:43:34.734759+05:30
centerlogic.com,Centerlogic IT Services,accept,United States,Vancouver,32,,,2001,,"Centerlogic, Inc. (formerly Evosus Solutions, Inc.) acts as an outsourced IT (information technology) department which reports to an administrative or technical contact within your company. We support infrastructures as simple as a single computer, to those as complex as multiple-site, multiple-serv","Outsourced IT department, 32 employees, US-based, offers managed services with technical depth to clients.",eval_angles-4;eval_baseline;eval_combined;eval_judge-next-slice,2026-09-04T17:21:12.625008+05:30
csu-it.com,Computer Services Unlimited (CSU),accept,United States,Owings Mills,14,,,2004,,"Computer Services Unlimited (CSU) is a technology solutions provider specializing in Managed IT, Cybersecurity, IT Consulting, Data Backup & Disaster Recovery, Cloud Services and more. The company was founded in 2004 to fill an ever-growing demand for cost effective solutions that enable small and m","CSU is a US-based managed IT provider with 14 staff serving external clients, matching MSP criteria.",eval_baseline;eval_combined;eval_combined2;eval_judge-next-slice;eval_lean,2026-09-04T16:01:07.748736+05:30
e3itservices.com,"E3 IT Services, LLC",accept,United States,Turnersville,10,,,1987,,"E3 IT Services is an established technology partner helping organizations across Central and South Jersey, Philadelphia, and Delaware move from constant IT frustration to Technology Peace of Mind.   For more than 30 years, we have helped leadership teams eliminate disruptions, gain control over tech","E3 IT Services is a US MSP with exactly 10 employees, borderline for the 'more than 10' threshold.",eval_baseline;eval_combined2;eval_lean,2026-09-04T16:01:07.748736+05:30
everound.com,Everound,accept,United States,Harrisburg,11,,,2019,,"Everound provides managed information technology services designed to help companies become more efficient, boost productivity, reduce risk, and promote digital security.  We support national organizations and small businesses by solving IT challenges with customized information technology solutions","Harrisburg-based MSP, 11 employees, offers customized managed IT services to businesses.",eval_reprove-missing,2026-09-04T16:22:53.754597+05:30
ferrumit.com,"Ferrum Technology Services, LLC",accept,United States,chicago,11,26322376,,2007,,"Ferrum is a fully managed IT partner serving clients nationwide from our offices in Elgin, IL and Palm Springs, CA. We specialize in helping organizations modernize operations and accelerate innovation through proactive IT services, intelligent automation, custom application development, Generative ",MSP with 11 employees serving clients nationwide from US offices; no evidence for soft preferences provided.,eval_angles-4;eval_baseline;eval_combined;eval_judge-next-slice,2026-09-04T17:20:41.085967+05:30
goabacus.com,Abacus IT,accept,United States,Maple Shade,12,5932479,,2001,,"Abacus IT is a trusted IT Managed Services Provider (MSP) specializing in secure, scalable technology solutions for highly regulated industries like banking, legal, and healthcare. With over 20 years of experience, we bring deep expertise in cybersecurity, compliance, cloud infrastructure, and IT st",MSP with 12 employees serving regulated industries in the US; no evidence on staffing-firm distinction.,eval_combined2;eval_judge-x4,2026-09-04T18:19:32.429993+05:30
goleadingit.com,LeadingIT,accept,United States,Woodstock,23,147426,,2010,,"We cybersecure your organization.   LeadingIT provides fast+friendly cybersecurity and technology (unlimited) support for nonprofits, manufacturers, schools, accounting firms, religious organizations, government, and law offices with 10-200 employees across the Chicagoland area.  We offer ALL three ","US MSP serving manufacturers, accounting firms etc., 23 employees, unlimited support model shows depth.",eval_judge-x4,2026-09-04T16:55:03.405327+05:30
